chunk_idx	page	section	text_excerpt
102		부칙 (규정 제262호)	⑯소청심사위원회운영내규 중 다음과 같이 개정한다.  제2조 제1항 중 “사업부서의 본부장(이사)”를 “환경이사"로 한다.  ⑰무지개복지센터운영내규 중 다음과 같이 개정한다.  제10조 제1항 중 “팀장 및 센터장”을 “센터장”으로 한다.  부칙 (규정 제261호)  이 규정은 발령한 날부터 시행한다.  부칙 (규정 제262호)  이 규정은 발령한 날부터 시
103		부칙 (규정 제290호)	부칙 (규정 제267호)  이 규정은 발령한 날부터 시행한다.  부칙 (규정 제270호)  이 규정은 발령한 날부터 시행한다.  부칙 (규정 제275호)  이 규정은 2014년 12월 1일부터 시행한다.  부칙 (규정 제278호)  이 규정은 발령한 날부터 시행한다.  부칙 (규정 제287호)  이 규정은 2016년 1월 1일부터 시행한다.  부칙 (규정 
104		부칙 (규정 제314호)	이 규정은 발령한 날부터 시행한다.  부칙 (규정 제298호)  이 규정은 발령한 날부터 시행한다.  부칙 (규정 제304호)  이 규정은 발령한 날부터 시행하되, 2017년 1월 1일부터 적용한다.  부칙 (규정 제306호)  이 규정은 발령한 날부터 시행한다.  부칙 (규정 제312호)  이 규정은 2018년 1월 1일부터 시행한다.  부칙 (규정 제3
105		부칙 (규정 제324호)	이 규정은 2018년 1월 1일부터 시행한다.  부칙 (규정 제316호)  이 규정은 2018년 5월 1일부터 시행한다.  부칙 (규정 제320호)  이 규정은 2018년 7월 1일부터 시행한다.  부칙 (규정 제322호)  이 규정은 2018년 7월 1일부터 시행한다.  부칙 (규정 제323호)  이 규정은 2018년 7월 1일부터 시행한다.  부칙 (규
106		제2조(다른 규정의 개정) ①취업 규정을 다음과 같이 개정한다.	이 규정은 발령한 날부터 시행한다.  부칙 (규정 제325호)  제1조(시행일) 이 규정은 2019년 1월 1일부터 시행한다.  제2조(다른 규정의 개정) ①취업 규정을 다음과 같이 개정한다.  제3조제2호 중 “직제(이사, 처·본부, 실, 팀·센터·관)”을 “직제(본부, 처, 실, 팀·센터·관)”으로 하고, 별지 제1호서식 <전자결재용> 휴가원 결재란 중
107		별표 1 복리후생비 지급기준표의 지급대상란 중 “이사”를 “본부장”으로,  “처장·본부장·실장”을 “처장·실장”으로 한다.	②보수 규정을 다음과 같이 개정한다.  별표 8 수당지급 기준표의 직무수당란 중 “경영전략, 총무, 기획홍보, 재무회계,”를 “경영지원,”으로, “무지개복지센터”를 “무지개복지공장, 주간보호실”로 한다.  ③복리후생 규정을 다음과 같이 개정한다.  별표 1 복리후생비 지급기준표의 지급대상란 중 “이사”를 “본부장”으로,  “처장·본부장·실장”을 “처장·실장
108		부칙 (규정 제339호)	④예산성과금 지급 운영 규정을 다음과 같이 개정한다.  제11조제6항 중 “경영이사로”를 “경영본부장으로”로 하고, 같은 조제7항 중 “기획홍보팀장으로”를 “예산부서의 장으로”로 한다.  부칙 (규정 제331호)  이 규정은 발령한 날부터 시행한다.  부칙 (규정 제335호)  이 규정은 발령한 날부터 시행한다.  부칙 (규정 제339호)  이 규정은 20
109		제2조(적용례) ①제16조의2제1호 및 같은 조 제6호의 개정규정은 2020년 2월 1일부터 적용한다.	부칙 (규정 제341호)  이 규정은 2020년 1월 1일부터 시행한다.  부칙 (규정 제344호)  제1조(시행일) 이 규정은 발령한 날부터 시행한다.  제2조(적용례) ①제16조의2제1호 및 같은 조 제6호의 개정규정은 2020년 2월 1일부터 적용한다.  ②제16조의2제9호의 개정규정은 이 규정 시행 후 안영생활체육시설단지를 최초로 수탁·운영하는 날부
110		제1조(시행일) 이 규정은 2020년 7월 1일부터 시행한다.	제3조(경과조치) 이 규정 시행당시 종전의 규정에 따라 월드컵체육시설처에서 행하여진 행위는 이 규정에 따라 행하여진 행위로 본다.  부칙 (규정 제345호)  제1조(시행일) 이 규정은 발령한 날부터 시행한다.  제2조(적용례) 제16조제10호의 개정규정은 2020년 5월 1일부터 적용한다.  부칙 (규정 제347호)  제1조(시행일) 이 규정은 2020년
111		제2조(다른 규정의 개정) ①취업 규정 일부를 다음과 같이 개정한다.	제2조(다른 규정의 개정) ①취업 규정 일부를 다음과 같이 개정한다.  제3조제2호 중 “팀·센터·관”을 “팀·센터·관·원”으로 한다.  ②복리후생 규정 일부를 다음과 같이 개정한다.  별표 1 복리후생비 지급기준표 중 “팀장·센터장·관장(2급이상)”을 “팀장·센터장·관장·원장(2급이상)”으로, “팀장·센터장·관장·파트장(3급이하)”를 “팀장·센터장·관장·
112		제14조(정원·정수) ①일반직의 직급별 정원은 별표 2와 같다.	부칙 (규정 제348호)  제1조(시행일) 이 규정은 발령한 날부터 시행한다. <단서 생략>  제2조 (생략)  제3조(다른 규정의 개정) 직제 규정 일부를 다음과 같이 개정한다.  제14조를 다음과 같이 한다.  제14조(정원·정수) ①일반직의 직급별 정원은 별표 2와 같다.  ②업무직 및 청원경찰의 정수는 예산의 범위 내에서 정하되, 업무직의 정수는 업
113		제14조(정원·정수) ①일반직의 직급별 정원은 별표 2와 같다.	[별표 3]
114		제14조(정원·정수) ①일반직의 직급별 정원은 별표 2와 같다.	청원경찰 정수표(제14조 관련)
115		제14조(정원·정수) ①일반직의 직급별 정원은 별표 2와 같다.	(단위 : 명)
116		제14조(정원·정수) ①일반직의 직급별 정원은 별표 2와 같다.	구  분  청원경찰  계
117		제14조(정원·정수) ①일반직의 직급별 정원은 별표 2와 같다.	7
118		제1조(시행일) 이 규정은 2022년 1월 1일부터 시행한다.	부칙 (규정 제352호)  제1조(시행일) 이 규정은 발령한 날부터 시행한다.  제2조(적용례) 제16조제11호의 개정규정은 2021년 1월 1일부터 적용한다.  부칙 (규정 제359호)  이 규정은 2021년 7월 1일부터 시행한다.  부칙 (규정 제363호)  이 규정은 발령한 날부터 시행한다.  부  칙(규정 제367호)  제1조(시행일) 이 규정은 
119		제1조(시행일) 이 규정은 2023년 1월 1일부터 시행한다. 다만, 제16조제18호는 2022년 12월 21일부터 시행한다.	제2조(다른 규정의 개정) ①취업 규정을 다음과 같이 개정한다.  제3조2호 중 “(본부, 처, 실, 팀센터관원)”을 “(본부, 처, 실, 팀센터관)으로 한다.  부칙 (규정 제368호)  이 규정은 발령한 날부터 시행한다.  부칙 (규정 제370호)  이 규정은 발령한 날부터 시행한다.  부칙 (규정 제374호)  제1조(시행일) 이 규정은 20
120		이 규정은 발령한 날부터 시행한다.	부칙 (규정 제379호)  이 규정은 2023년 7월 1일부터 시행한다.  부칙 (규정 제383호)  이 규정은 2024년 1월 1일부터 시행한다.  부칙 (규정 제399호)  이 규정은 발령한 날부터 시행한다.  〔별표 1〕<개정 2001.4.4 규정 제31호, 개정 2001.7.28 규정 제34호, 개정 2002.4.15 규정 제38호, 개정 2003.
121		기 구 표(제12조제4항관련)	기 구 표(제12조제4항관련)  이  사  장  경영본부(상임이사)  기술본부(상임이사)  경  영  지원처  체  육  시설처  복  지  사업처  환  경  시설처  기  반  시설처  안  전  감사실  기획예산팀  총무인사팀  경영혁신팀  재무회계팀  노사협력팀  체육시설사업팀  체육시설관리팀  한밭수영장관리팀  용운스포츠센터  국민생활관  복용승마
122		기 구 표(제12조제4항관련)	정수원운영팀  추모공원관리팀  무지개복지운영팀  무지개복지생산영업팀  기성종합복지관  수 질 관 리 팀  운  영  1  팀  운  영  2  팀  하 수 시 설 팀  대청호시설팀  위 생 관 리 팀  상 가 지 원 팀  공동구관리팀  안전관리팀  청렴감사팀
123		기 구 표(제12조제4항관련)	〔별표 2〕<개정 2001.4.4 규정 제31호, 개정 2001.7.28 규정 제34호, 개정 2002.4.15 규정 제38호, 개정 2003.5.26 규정 제48호, 개정 2003.12.12 규정 제57호, 개정 2004. 1.16 규정 제66호, 개정 2004.12.15 규정 제86호, 개정 2006.3.10 규정 제102호, 개정 2006. 7. 6 
124		기 구 표(제12조제4항관련)	정 원 표(제14조 관련)
125		기 구 표(제12조제4항관련)	(단위 : 명)
126		기 구 표(제12조제4항관련)	직군  직급  계  임  원  행정․기술  행  정  기  술  비 고  계
127		기 구 표(제12조제4항관련)	274
128		기 구 표(제12조제4항관련)	3
129		기 구 표(제12조제4항관련)	45
130		기 구 표(제12조제4항관련)	74
131		기 구 표(제12조제4항관련)	152
132		기 구 표(제12조제4항관련)	임   원
133		기 구 표(제12조제4항관련)	3
134		기 구 표(제12조제4항관련)	3
135		기 구 표(제12조제4항관련)	직  원  소 계
136		기 구 표(제12조제4항관련)	271
137		기 구 표(제12조제4항관련)	45
138		기 구 표(제12조제4항관련)	74
139		기 구 표(제12조제4항관련)	152
140		기 구 표(제12조제4항관련)	1~2급
141		기 구 표(제12조제4항관련)	18
142		기 구 표(제12조제4항관련)	18
143		기 구 표(제12조제4항관련)	3  급
144		기 구 표(제12조제4항관련)	27
145		기 구 표(제12조제4항관련)	27
